time,dangjin_floating,dangjin_warehouse,dangjin,ulsan
2021-02-01 01:00:00,0.0,0.0,0.0,0.0
2021-02-01 02:00:00,0.0,0.0,0.0,0.0
2021-02-01 03:00:00,0.0,0.0,0.0,0.0
2021-02-01 04:00:00,0.0,0.0,0.0,0.0
2021-02-01 05:00:00,0.0,0.0,0.0,0.0
2021-02-01 06:00:00,0.0,0.0,0.0,0.0
2021-02-01 07:00:00,0.0,0.0,0.0,0.0
2021-02-01 08:00:00,0.0,0.0,0.0,7.172021602110373
2021-02-01 09:00:00,3.20626128992225,5.437433663363684,12.636028377333929,15.243815592647115
2021-02-01 10:00:00,88.05560146156508,67.70333287869113,97.43731137023958,47.89226760052874
2021-02-01 11:00:00,193.57744634548501,136.31375753013154,218.57881694124828,97.8714906595237
2021-02-01 12:00:00,288.5112967213916,189.70539019673447,288.5285304525697,123.37809467638905
2021-02-01 13:00:00,297.3745440926883,224.7641333747925,351.0855443427939,146.1385670600643
2021-02-01 14:00:00,307.85150750877364,230.21918155185207,372.7599683536251,172.706197571162
2021-02-01 15:00:00,365.77694899128056,242.19134602060308,406.63582149664364,154.84959637293554
2021-02-01 16:00:00,314.74227109630874,227.08736782764854,365.3502792643641,114.06138988566524
2021-02-01 17:00:00,132.01175079463607,106.19337307252373,185.80125731739463,42.737417295940816
2021-02-01 18:00:00,14.408947590482715,7.97991718444669,11.717310287852388,7.617438399888392
2021-02-01 19:00:00,0.0,0.0,0.6760107857451552,0.0
2021-02-01 20:00:00,0.0,0.0,0.2389641913689973,0.0
2021-02-01 21:00:00,0.0,5.914307692028234,12.889923519611067,0.0
2021-02-01 22:00:00,0.0,7.409180714114438,8.439199714877574,0.0
2021-02-01 23:00:00,0.0,0.0,13.003124045492733,0.0
2021-02-01 24:00:00,0.0,0.0,22.560528539100975,0.0
2021-02-02 01:00:00,0.0,0.0,23.27517946330182,0.0
2021-02-02 02:00:00,0.0,0.0,11.574800722384428,0.0
2021-02-02 03:00:00,0.0,0.0,11.574800722384428,0.0
2021-02-02 04:00:00,0.0,0.0,0.0,0.0
2021-02-02 05:00:00,0.0,0.0,0.0,0.0
2021-02-02 06:00:00,0.0,0.0,0.0,0.0
2021-02-02 07:00:00,19.820894933336444,8.757339290947046,33.21551311210443,10.774804097612108
2021-02-02 08:00:00,20.22608848566037,15.934523084623299,35.46983498290924,27.58465728352773
2021-02-02 09:00:00,59.04444825145032,50.30480780574965,89.01066297717091,65.67580845560134
2021-02-02 10:00:00,230.43525178206136,140.78758292986075,298.3710496252736,166.1147611376575
2021-02-02 11:00:00,387.9405587098894,287.9149012235006,451.2766817372939,269.3482816736714
2021-02-02 12:00:00,461.1961476579328,325.4570838626323,607.1098914811636,317.6932193048852
2021-02-02 13:00:00,524.3890626841707,348.38805919867565,616.4992625034691,321.81751433119916
